,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
0,E01000002,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
1,E01000005,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0
2,E01000006,146.0,0.0,39.0,0.0,67.0,0.0,-145.0,253.0
3,E01000007,0.0,0.0,46.0,90.0,187.0,0.0,-79.0,334.0
4,E01000008,154.0,0.0,37.0,0.0,114.0,0.0,-152.0,307.0
5,E01000009,0.0,0.0,46.0,112.0,161.0,0.0,14.0,445.0
6,E01000010,162.0,1.0,76.0,163.0,201.0,0.0,-86.0,842.0
7,E01000011,0.0,0.0,46.0,40.0,75.0,0.0,27.0,228.0
8,E01000012,0.0,0.0,42.0,121.0,112.0,0.0,137.0,533.0
9,E01000013,0.0,0.0,43.0,34.0,198.0,0.0,34.0,343.0
10,E01000014,0.0,0.0,76.0,0.0,32.0,0.0,0.0,108.0
11,E01000015,0.0,0.0,74.0,0.0,90.0,0.0,0.0,164.0
12,E01000016,0.0,0.0,0.0,31.0,110.0,0.0,32.0,204.0
13,E01000017,0.0,0.0,39.0,42.0,73.0,0.0,9.0,205.0
14,E01000018,0.0,0.0,35.0,0.0,82.0,0.0,0.0,117.0
15,E01000019,0.0,0.0,0.0,0.0,87.0,0.0,0.0,87.0
16,E01000020,0.0,0.0,39.0,0.0,73.0,0.0,0.0,112.0
17,E01000021,0.0,0.0,0.0,0.0,147.0,0.0,0.0,147.0
18,E01000022,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0
19,E01000023,0.0,0.0,39.0,35.0,205.0,37.0,93.0,444.0
20,E01000024,0.0,0.0,43.0,0.0,118.0,0.0,0.0,161.0
21,E01000025,0.0,0.0,0.0,0.0,115.0,38.0,0.0,153.0
22,E01000027,0.0,0.0,0.0,39.0,175.0,0.0,21.0,274.0
23,E01000028,0.0,0.0,89.0,42.0,124.0,0.0,13.0,310.0
24,E01000029,0.0,0.0,0.0,32.0,114.0,0.0,33.0,211.0
25,E01000030,0.0,0.0,43.0,42.0,157.0,0.0,25.0,309.0
26,E01000031,0.0,0.0,35.0,0.0,88.0,0.0,0.0,123.0
27,E01000032,0.0,0.0,41.0,45.0,159.0,0.0,12.0,302.0
28,E01000033,136.0,0.0,48.0,35.0,165.0,0.0,-65.0,490.0
29,E01000034,0.0,0.0,0.0,0.0,171.0,0.0,0.0,171.0
30,E01000035,178.0,0.0,42.0,39.0,109.0,0.0,-87.0,498.0
31,E01000036,0.0,0.0,77.0,96.0,141.0,47.0,19.0,476.0
32,E01000037,0.0,0.0,40.0,33.0,85.0,0.0,29.0,220.0
33,E01000038,0.0,0.0,0.0,0.0,89.0,0.0,0.0,89.0
34,E01000039,0.0,0.0,38.0,0.0,38.0,0.0,0.0,76.0
35,E01000040,0.0,0.0,33.0,88.0,79.0,0.0,33.0,321.0
36,E01000041,0.0,0.0,0.0,0.0,163.0,0.0,0.0,163.0
37,E01000042,0.0,0.0,82.0,0.0,128.0,0.0,0.0,210.0
38,E01000043,0.0,0.0,0.0,0.0,125.0,0.0,0.0,125.0
39,E01000044,0.0,0.0,0.0,0.0,121.0,0.0,0.0,121.0
40,E01000045,0.0,0.0,127.0,44.0,153.0,0.0,14.0,382.0
41,E01000046,0.0,0.0,49.0,0.0,167.0,0.0,0.0,216.0
42,E01000048,0.0,0.0,0.0,39.0,70.0,0.0,21.0,169.0
43,E01000049,0.0,0.0,34.0,0.0,217.0,0.0,0.0,251.0
44,E01000050,0.0,0.0,0.0,0.0,81.0,0.0,0.0,81.0
45,E01000051,0.0,0.0,0.0,43.0,81.0,0.0,18.0,185.0
46,E01000052,0.0,0.0,0.0,37.0,120.0,0.0,22.0,216.0
47,E01000053,0.0,0.0,87.0,0.0,169.0,0.0,0.0,256.0
48,E01000054,0.0,0.0,0.0,43.0,84.0,0.0,9.0,179.0
49,E01000055,0.0,0.0,31.0,40.0,87.0,0.0,29.0,227.0
50,E01000056,0.0,0.0,41.0,0.0,163.0,0.0,0.0,204.0
51,E01000057,0.0,0.0,34.0,41.0,167.0,0.0,25.0,308.0
52,E01000058,0.0,0.0,39.0,38.0,124.0,0.0,30.0,269.0
53,E01000059,0.0,0.0,35.0,79.0,75.0,0.0,46.0,314.0
54,E01000060,0.0,0.0,76.0,95.0,184.0,0.0,29.0,479.0
55,E01000061,0.0,109.0,81.0,70.0,196.0,0.0,68.0,594.0
56,E01000062,0.0,0.0,0.0,41.0,64.0,0.0,21.0,167.0
57,E01000063,0.0,34.0,40.0,0.0,84.0,0.0,0.0,158.0
58,E01000064,0.0,0.0,80.0,0.0,227.0,0.0,63.0,370.0
59,E01000065,0.0,0.0,0.0,0.0,155.0,0.0,0.0,155.0
60,E01000066,0.0,49.0,160.0,33.0,81.0,0.0,35.0,391.0
61,E01000067,0.0,0.0,0.0,0.0,113.0,0.0,57.0,170.0
62,E01000068,0.0,0.0,0.0,41.0,173.0,0.0,22.0,277.0
63,E01000069,0.0,0.0,0.0,0.0,157.0,0.0,0.0,157.0
64,E01000070,0.0,32.0,0.0,79.0,148.0,0.0,36.0,374.0
65,E01000071,0.0,0.0,0.0,38.0,72.0,0.0,33.0,181.0
66,E01000072,0.0,0.0,0.0,0.0,153.0,0.0,0.0,153.0
67,E01000073,0.0,0.0,0.0,0.0,173.0,0.0,65.0,238.0
68,E01000074,0.0,38.0,36.0,0.0,74.0,0.0,0.0,148.0
69,E01000075,0.0,36.0,35.0,0.0,170.0,0.0,0.0,241.0
70,E01000076,0.0,0.0,0.0,0.0,148.0,0.0,0.0,148.0
71,E01000077,0.0,31.0,68.0,32.0,125.0,0.0,32.0,320.0
72,E01000078,0.0,0.0,43.0,35.0,165.0,0.0,26.0,304.0
73,E01000079,0.0,0.0,48.0,31.0,26.0,0.0,30.0,166.0
74,E01000080,0.0,29.0,0.0,0.0,81.0,0.0,0.0,110.0
75,E01000081,0.0,38.0,41.0,0.0,78.0,0.0,0.0,157.0
76,E01000082,0.0,31.0,0.0,39.0,79.0,0.0,14.0,202.0
77,E01000083,0.0,0.0,42.0,0.0,82.0,0.0,0.0,124.0
78,E01000084,0.0,0.0,47.0,33.0,161.0,0.0,32.0,306.0
