,LSOA,Anti Semitic,Disability,Faith,Homophobic,Islamophobic,Racist,Transgender,Total All Incidents
0,E01000002,,,,,,2.0,,2.0
1,E01000005,,,,,,40.0,,40.0
2,E01000006,146.0,,1.0,39.0,,67.0,,253.0
3,E01000007,,0.0,11.0,46.0,90.0,187.0,,334.0
4,E01000008,154.0,0.0,2.0,37.0,,114.0,,307.0
5,E01000009,,,126.0,46.0,112.0,161.0,,445.0
6,E01000010,162.0,1.0,239.0,76.0,163.0,201.0,,842.0
7,E01000011,,,67.0,46.0,40.0,75.0,,228.0
8,E01000012,,,258.0,42.0,121.0,112.0,,533.0
9,E01000013,,,68.0,43.0,34.0,198.0,,343.0
10,E01000014,,,,76.0,,32.0,,108.0
11,E01000015,,,,74.0,,90.0,,164.0
12,E01000016,,,63.0,,31.0,110.0,,204.0
13,E01000017,,,51.0,39.0,42.0,73.0,,205.0
14,E01000018,,,,35.0,,82.0,,117.0
15,E01000019,,,,,,87.0,,87.0
16,E01000020,,,,39.0,,73.0,,112.0
17,E01000021,,,,,,147.0,,147.0
18,E01000022,,,,,,45.0,,45.0
19,E01000023,,0.0,128.0,39.0,35.0,205.0,37.0,444.0
20,E01000024,,,,43.0,,118.0,,161.0
21,E01000025,,,,,,115.0,38.0,153.0
22,E01000027,,,60.0,,39.0,175.0,,274.0
23,E01000028,,0.0,55.0,89.0,42.0,124.0,,310.0
24,E01000029,,0.0,65.0,,32.0,114.0,,211.0
25,E01000030,,0.0,67.0,43.0,42.0,157.0,,309.0
26,E01000031,,0.0,,35.0,,88.0,,123.0
27,E01000032,,,57.0,41.0,45.0,159.0,,302.0
28,E01000033,136.0,,106.0,48.0,35.0,165.0,,490.0
29,E01000034,,,,,,171.0,,171.0
30,E01000035,178.0,0.0,130.0,42.0,39.0,109.0,,498.0
31,E01000036,,,115.0,77.0,96.0,141.0,47.0,476.0
32,E01000037,,,62.0,40.0,33.0,85.0,,220.0
33,E01000038,,,,,,89.0,,89.0
34,E01000039,,0.0,,38.0,,38.0,,76.0
35,E01000040,,,121.0,33.0,88.0,79.0,,321.0
36,E01000041,,,,,,163.0,,163.0
37,E01000042,,0.0,,82.0,,128.0,,210.0
38,E01000043,,,,,,125.0,,125.0
39,E01000044,,,,,,121.0,,121.0
40,E01000045,,,58.0,127.0,44.0,153.0,,382.0
41,E01000046,,,,49.0,,167.0,,216.0
42,E01000048,,,60.0,,39.0,70.0,,169.0
43,E01000049,,,,34.0,,217.0,,251.0
44,E01000050,,,,,,81.0,,81.0
45,E01000051,,0.0,61.0,,43.0,81.0,,185.0
46,E01000052,,,59.0,,37.0,120.0,,216.0
47,E01000053,,,,87.0,,169.0,,256.0
48,E01000054,,0.0,52.0,,43.0,84.0,,179.0
49,E01000055,,,69.0,31.0,40.0,87.0,,227.0
50,E01000056,,,,41.0,,163.0,,204.0
51,E01000057,,0.0,66.0,34.0,41.0,167.0,,308.0
52,E01000058,,,68.0,39.0,38.0,124.0,,269.0
53,E01000059,,,125.0,35.0,79.0,75.0,,314.0
54,E01000060,,0.0,124.0,76.0,95.0,184.0,,479.0
55,E01000061,,109.0,138.0,81.0,70.0,196.0,,594.0
56,E01000062,,,62.0,,41.0,64.0,,167.0
57,E01000063,,34.0,,40.0,,84.0,,158.0
58,E01000064,,,63.0,80.0,,227.0,,370.0
59,E01000065,,,,,,155.0,,155.0
60,E01000066,,49.0,68.0,160.0,33.0,81.0,,391.0
61,E01000067,,,57.0,,,113.0,,170.0
62,E01000068,,,63.0,,41.0,173.0,,277.0
63,E01000069,,,,,,157.0,,157.0
64,E01000070,,32.0,115.0,,79.0,148.0,,374.0
65,E01000071,,,71.0,,38.0,72.0,,181.0
66,E01000072,,,,,,153.0,,153.0
67,E01000073,,,65.0,,,173.0,,238.0
68,E01000074,,38.0,,36.0,,74.0,,148.0
69,E01000075,,36.0,,35.0,,170.0,,241.0
70,E01000076,,,,,,148.0,,148.0
71,E01000077,,31.0,64.0,68.0,32.0,125.0,,320.0
72,E01000078,,,61.0,43.0,35.0,165.0,,304.0
73,E01000079,,,61.0,48.0,31.0,26.0,,166.0
74,E01000080,,29.0,,,,81.0,,110.0
75,E01000081,,38.0,,41.0,,78.0,,157.0
76,E01000082,,31.0,53.0,,39.0,79.0,,202.0
77,E01000083,,,,42.0,,82.0,,124.0
78,E01000084,,,65.0,47.0,33.0,161.0,,306.0
79,E01000085,,,,43.0,,148.0,,191.0
80,E01000086,,,62.0,75.0,41.0,42.0,,220.0
81,E01000087,,,,80.0,,196.0,,276.0
82,E01000088,,38.0,115.0,43.0,,159.0,,355.0
83,E01000089,,,,44.0,,116.0,,160.0
84,E01000090,,,64.0,,42.0,110.0,,216.0
85,E01000091,,,,34.0,,124.0,,158.0
86,E01000092,,,104.0,71.0,82.0,168.0,39.0,464.0
87,E01000093,,36.0,136.0,,75.0,159.0,,406.0
88,E01000094,,,,,,170.0,,170.0
89,E01000095,,,121.0,36.0,36.0,190.0,,383.0
90,E01000096,,,69.0,39.0,38.0,111.0,,257.0
91,E01000097,,,117.0,,72.0,32.0,,221.0
92,E01000098,,41.0,62.0,37.0,41.0,123.0,,304.0
93,E01000099,,,,51.0,,117.0,,168.0
94,E01000100,,36.0,,79.0,,156.0,73.0,344.0
95,E01000101,,,,,,156.0,,156.0
96,E01000102,,,65.0,34.0,40.0,40.0,,179.0
97,E01000103,,89.0,61.0,,36.0,85.0,,271.0
98,E01000104,,,,40.0,,126.0,,166.0
99,E01000105,,79.0,189.0,78.0,111.0,195.0,74.0,726.0
100,E01000106,,38.0,69.0,,38.0,168.0,,313.0
101,E01000107,,,61.0,,34.0,84.0,,179.0
102,E01000108,,,,26.0,,165.0,,191.0
103,E01000109,,38.0,,37.0,,117.0,,192.0
104,E01000110,,,,,,120.0,,120.0
105,E01000111,171.0,,59.0,,,160.0,,390.0
106,E01000112,,,124.0,,41.0,202.0,,367.0
107,E01000113,,,128.0,85.0,71.0,118.0,,402.0
108,E01000114,,,,39.0,,112.0,39.0,190.0
109,E01000115,,,,38.0,,94.0,,132.0
110,E01000116,,,145.0,35.0,80.0,110.0,,370.0
111,E01000117,167.0,37.0,65.0,,39.0,127.0,,435.0
112,E01000118,301.0,42.0,120.0,79.0,36.0,149.0,,727.0
113,E01000119,,,70.0,,43.0,82.0,,195.0
114,E01000120,,,58.0,,,70.0,,128.0
115,E01000121,123.0,41.0,112.0,78.0,46.0,127.0,,527.0
116,E01000122,,,53.0,41.0,44.0,36.0,,174.0
117,E01000123,162.0,,61.0,,42.0,122.0,,387.0
118,E01000124,139.0,70.0,126.0,110.0,80.0,211.0,38.0,774.0
119,E01000125,294.0,69.0,136.0,78.0,38.0,165.0,,780.0
120,E01000126,,,71.0,,29.0,81.0,,181.0
121,E01000127,,,67.0,35.0,40.0,47.0,,189.0
122,E01000128,,,,,,68.0,,68.0
