,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
0,E01000002,False,False,False,False,False,False,False,False
1,E01000005,False,False,False,False,False,False,False,False
2,E01000006,True,False,False,False,False,False,False,False
3,E01000007,False,False,False,False,False,False,False,False
4,E01000008,True,False,False,False,False,False,False,False
5,E01000009,False,False,False,True,False,False,False,False
6,E01000010,True,False,False,True,False,False,False,True
7,E01000011,False,False,False,False,False,False,False,False
8,E01000012,False,False,False,True,False,False,True,False
9,E01000013,False,False,False,False,False,False,False,False
10,E01000014,False,False,False,False,False,False,False,False
11,E01000015,False,False,False,False,False,False,False,False
12,E01000016,False,False,False,False,False,False,False,False
13,E01000017,False,False,False,False,False,False,False,False
14,E01000018,False,False,False,False,False,False,False,False
15,E01000019,False,False,False,False,False,False,False,False
16,E01000020,False,False,False,False,False,False,False,False
17,E01000021,False,False,False,False,False,False,False,False
18,E01000022,False,False,False,False,False,False,False,False
19,E01000023,False,False,False,False,False,True,True,False
20,E01000024,False,False,False,False,False,False,False,False
21,E01000025,False,False,False,False,False,True,False,False
22,E01000027,False,False,False,False,False,False,False,False
23,E01000028,False,False,False,False,False,False,False,False
24,E01000029,False,False,False,False,False,False,False,False
25,E01000030,False,False,False,False,False,False,False,False
26,E01000031,False,False,False,False,False,False,False,False
27,E01000032,False,False,False,False,False,False,False,False
28,E01000033,True,False,False,False,False,False,False,False
29,E01000034,False,False,False,False,False,False,False,False
30,E01000035,True,False,False,False,False,False,False,False
31,E01000036,False,False,False,False,False,True,False,False
32,E01000037,False,False,False,False,False,False,False,False
33,E01000038,False,False,False,False,False,False,False,False
34,E01000039,False,False,False,False,False,False,False,False
35,E01000040,False,False,False,False,False,False,False,False
36,E01000041,False,False,False,False,False,False,False,False
37,E01000042,False,False,False,False,False,False,False,False
38,E01000043,False,False,False,False,False,False,False,False
39,E01000044,False,False,False,False,False,False,False,False
40,E01000045,False,False,False,False,False,False,False,False
41,E01000046,False,False,False,False,False,False,False,False
42,E01000048,False,False,False,False,False,False,False,False
43,E01000049,False,False,False,False,False,False,False,False
44,E01000050,False,False,False,False,False,False,False,False
45,E01000051,False,False,False,False,False,False,False,False
46,E01000052,False,False,False,False,False,False,False,False
47,E01000053,False,False,False,False,False,False,False,False
48,E01000054,False,False,False,False,False,False,False,False
49,E01000055,False,False,False,False,False,False,False,False
50,E01000056,False,False,False,False,False,False,False,False
51,E01000057,False,False,False,False,False,False,False,False
52,E01000058,False,False,False,False,False,False,False,False
53,E01000059,False,False,False,False,False,False,False,False
54,E01000060,False,False,False,False,False,False,False,False
55,E01000061,False,True,False,False,False,False,True,False
56,E01000062,False,False,False,False,False,False,False,False
57,E01000063,False,False,False,False,False,False,False,False
58,E01000064,False,False,False,False,True,False,False,False
59,E01000065,False,False,False,False,False,False,False,False
60,E01000066,False,False,False,False,False,False,False,False
61,E01000067,False,False,False,False,False,False,False,False
62,E01000068,False,False,False,False,False,False,False,False
63,E01000069,False,False,False,False,False,False,False,False
64,E01000070,False,False,False,False,False,False,False,False
65,E01000071,False,False,False,False,False,False,False,False
66,E01000072,False,False,False,False,False,False,False,False
67,E01000073,False,False,False,False,False,False,False,False
68,E01000074,False,False,False,False,False,False,False,False
69,E01000075,False,False,False,False,False,False,False,False
70,E01000076,False,False,False,False,False,False,False,False
71,E01000077,False,False,False,False,False,False,False,False
72,E01000078,False,False,False,False,False,False,False,False
73,E01000079,False,False,False,False,False,False,False,False
74,E01000080,False,False,False,False,False,False,False,False
75,E01000081,False,False,False,False,False,False,False,False
76,E01000082,False,False,False,False,False,False,False,False
77,E01000083,False,False,False,False,False,False,False,False
78,E01000084,False,False,False,False,False,False,False,False
79,E01000085,False,False,False,False,False,False,False,False
80,E01000086,False,False,False,False,False,False,False,False
81,E01000087,False,False,False,False,False,False,False,False
82,E01000088,False,False,False,False,False,False,True,False
83,E01000089,False,False,False,False,False,False,False,False
84,E01000090,False,False,False,False,False,False,False,False
85,E01000091,False,False,False,False,False,False,False,False
86,E01000092,False,False,False,False,False,True,False,False
87,E01000093,False,False,False,False,False,False,False,False
88,E01000094,False,False,False,False,False,False,False,False
89,E01000095,False,False,False,False,False,False,True,False
90,E01000096,False,False,False,False,False,False,False,False
91,E01000097,False,False,False,False,False,False,False,False
92,E01000098,False,False,False,False,False,False,False,False
93,E01000099,False,False,False,False,False,False,False,False
94,E01000100,False,False,False,False,False,True,False,False
95,E01000101,False,False,False,False,False,False,False,False
96,E01000102,False,False,False,False,False,False,False,False
97,E01000103,False,True,False,False,False,False,False,False
98,E01000104,False,False,False,False,False,False,False,False
99,E01000105,False,False,False,True,False,True,True,False
100,E01000106,False,False,False,False,False,False,False,False
101,E01000107,False,False,False,False,False,False,False,False
102,E01000108,False,False,False,False,False,False,False,False
103,E01000109,False,False,False,False,False,False,False,False
104,E01000110,False,False,False,False,False,False,False,False
105,E01000111,True,False,False,False,False,False,False,False
106,E01000112,False,False,False,False,False,False,True,False
107,E01000113,False,False,False,False,False,False,False,False
108,E01000114,False,False,False,False,False,True,False,False
109,E01000115,False,False,False,False,False,False,False,False
110,E01000116,False,False,False,False,False,False,False,False
111,E01000117,True,False,False,False,False,False,False,False
112,E01000118,True,False,False,False,False,False,False,False
113,E01000119,False,False,False,False,False,False,False,False
114,E01000120,False,False,False,False,False,False,False,False
115,E01000121,True,False,False,False,False,False,False,False
116,E01000122,False,False,False,False,False,False,False,False
117,E01000123,True,False,False,False,False,False,False,False
118,E01000124,True,False,False,False,False,True,False,False
119,E01000125,True,False,False,False,False,False,False,False
120,E01000126,False,False,False,False,False,False,False,False
121,E01000127,False,False,False,False,False,False,False,False
122,E01000128,False,False,False,False,False,False,False,False
123,E01000129,True,False,False,False,False,True,False,True
124,E01000130,False,False,False,False,False,False,False,False
125,E01000131,False,False,False,False,False,False,False,False
126,E01000132,False,False,False,False,False,False,False,False
127,E01000133,True,False,False,False,False,False,False,False
128,E01000134,True,False,False,False,False,False,False,True
129,E01000135,True,False,False,False,False,False,False,False
130,E01000136,False,False,False,False,False,False,False,False
131,E01000137,True,False,False,False,False,False,False,False
132,E01000138,False,False,False,False,False,False,False,False
133,E01000139,True,False,False,False,False,False,False,False
134,E01000140,True,False,False,False,False,False,False,False
135,E01000141,True,False,False,False,False,False,False,False
136,E01000142,True,False,False,False,False,False,False,False
137,E01000143,False,False,False,False,False,False,False,False
138,E01000144,True,False,False,False,False,False,False,True
139,E01000145,True,False,False,False,False,False,False,False
140,E01000146,True,False,False,True,False,True,False,True
141,E01000147,False,False,False,False,False,False,False,False
142,E01000148,True,False,False,False,False,False,False,False
143,E01000150,True,False,False,False,False,False,False,False
144,E01000151,True,True,False,False,False,False,False,False
145,E01000152,False,False,False,False,False,False,False,False
146,E01000153,False,False,False,False,False,False,False,False
147,E01000154,False,False,False,False,False,False,True,False
148,E01000155,True,False,False,False,False,False,False,False
149,E01000156,True,False,False,False,False,False,False,False
150,E01000157,False,False,False,False,False,False,False,False
151,E01000158,True,False,False,False,False,True,False,False
152,E01000159,False,False,False,False,False,True,False,False
153,E01000160,False,False,False,False,False,True,False,False
154,E01000161,False,False,False,False,False,False,False,False
155,E01000162,True,False,False,False,False,False,False,True
156,E01000163,False,False,False,False,False,False,True,False
