,Unnamed: 0,LSOA11CD,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
0,0,E01000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,E01000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,2,E01000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,E01000005,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
4,4,E01000006,1.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0
5,5,E01000007,0.0,1.0,4.0,9.0,71.0,0.0,2.0,96.0
6,6,E01000008,1.0,1.0,1.0,0.0,23.0,0.0,0.0,27.0
7,7,E01000009,0.0,0.0,2.0,7.0,31.0,0.0,0.0,47.0
8,8,E01000010,2.0,1.0,8.0,16.0,140.0,0.0,0.0,185.0
9,9,E01000011,0.0,0.0,1.0,1.0,8.0,0.0,1.0,12.0
10,10,E01000012,0.0,0.0,1.0,7.0,4.0,0.0,2.0,21.0
11,11,E01000013,0.0,0.0,2.0,1.0,51.0,0.0,0.0,55.0
12,12,E01000014,0.0,0.0,9.0,0.0,5.0,0.0,0.0,14.0
13,13,E01000015,0.0,0.0,4.0,0.0,17.0,0.0,0.0,21.0
14,14,E01000016,0.0,0.0,0.0,1.0,13.0,0.0,0.0,15.0
15,15,E01000017,0.0,0.0,1.0,1.0,9.0,0.0,0.0,12.0
16,16,E01000018,0.0,0.0,1.0,0.0,9.0,0.0,0.0,10.0
17,17,E01000019,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0
18,18,E01000020,0.0,0.0,1.0,0.0,6.0,0.0,0.0,7.0
19,19,E01000021,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0
20,20,E01000022,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
21,21,E01000023,0.0,1.0,3.0,2.0,38.0,2.0,1.0,49.0
22,22,E01000024,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0
23,23,E01000025,0.0,0.0,0.0,0.0,12.0,1.0,0.0,13.0
24,24,E01000027,0.0,0.0,0.0,2.0,27.0,0.0,1.0,32.0
25,25,E01000028,0.0,1.0,3.0,2.0,17.0,0.0,0.0,25.0
26,26,E01000029,0.0,1.0,0.0,1.0,11.0,0.0,0.0,14.0
27,27,E01000030,0.0,2.0,1.0,1.0,14.0,0.0,0.0,19.0
28,28,E01000031,0.0,1.0,1.0,0.0,16.0,0.0,0.0,18.0
29,29,E01000032,0.0,0.0,1.0,2.0,32.0,0.0,1.0,38.0
30,30,E01000033,1.0,0.0,1.0,1.0,12.0,0.0,0.0,17.0
31,31,E01000034,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
32,32,E01000035,1.0,2.0,2.0,2.0,26.0,0.0,0.0,36.0
33,33,E01000036,0.0,0.0,3.0,3.0,19.0,1.0,0.0,29.0
34,34,E01000037,0.0,0.0,1.0,1.0,13.0,0.0,0.0,16.0
35,35,E01000038,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
36,36,E01000039,0.0,1.0,1.0,0.0,4.0,0.0,0.0,6.0
37,37,E01000040,0.0,0.0,1.0,2.0,17.0,0.0,0.0,22.0
38,38,E01000041,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
39,39,E01000042,0.0,1.0,5.0,0.0,27.0,0.0,0.0,33.0
40,40,E01000043,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
41,41,E01000044,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
42,42,E01000045,0.0,0.0,3.0,1.0,33.0,0.0,0.0,38.0
43,43,E01000046,0.0,0.0,1.0,0.0,17.0,0.0,0.0,18.0
44,44,E01000048,0.0,0.0,0.0,1.0,9.0,0.0,0.0,11.0
45,45,E01000049,0.0,0.0,1.0,0.0,16.0,0.0,0.0,17.0
46,46,E01000050,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
47,47,E01000051,0.0,1.0,0.0,1.0,7.0,0.0,0.0,10.0
48,48,E01000052,0.0,0.0,0.0,1.0,15.0,0.0,0.0,17.0
49,49,E01000053,0.0,0.0,2.0,0.0,28.0,0.0,0.0,30.0
50,50,E01000054,0.0,1.0,0.0,1.0,4.0,0.0,0.0,7.0
51,51,E01000055,0.0,0.0,1.0,1.0,8.0,0.0,0.0,11.0
52,52,E01000056,0.0,0.0,1.0,0.0,27.0,0.0,0.0,28.0
53,53,E01000057,0.0,2.0,2.0,1.0,26.0,0.0,0.0,32.0
54,54,E01000058,0.0,0.0,1.0,1.0,11.0,0.0,0.0,14.0
55,55,E01000059,0.0,0.0,1.0,2.0,7.0,0.0,0.0,12.0
56,56,E01000060,0.0,1.0,3.0,5.0,25.0,0.0,0.0,39.0
57,57,E01000061,0.0,4.0,4.0,4.0,32.0,0.0,0.0,48.0
58,58,E01000062,0.0,0.0,0.0,1.0,9.0,0.0,0.0,11.0
59,59,E01000063,0.0,1.0,1.0,0.0,8.0,0.0,0.0,10.0
60,60,E01000064,0.0,0.0,5.0,0.0,16.0,0.0,1.0,22.0
61,61,E01000065,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0
62,62,E01000066,0.0,3.0,4.0,1.0,4.0,0.0,0.0,13.0
63,63,E01000067,0.0,0.0,0.0,0.0,9.0,0.0,1.0,10.0
64,64,E01000068,0.0,0.0,0.0,2.0,11.0,0.0,0.0,15.0
65,65,E01000069,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0
66,66,E01000070,0.0,1.0,0.0,3.0,18.0,0.0,1.0,26.0
67,67,E01000071,0.0,0.0,0.0,1.0,10.0,0.0,0.0,12.0
68,68,E01000072,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0
69,69,E01000073,0.0,0.0,0.0,0.0,13.0,0.0,1.0,14.0
70,70,E01000074,0.0,1.0,1.0,0.0,9.0,0.0,0.0,11.0
71,71,E01000075,0.0,1.0,1.0,0.0,19.0,0.0,0.0,21.0
72,72,E01000076,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
73,73,E01000077,0.0,2.0,3.0,1.0,14.0,0.0,0.0,21.0
74,74,E01000078,0.0,0.0,1.0,1.0,15.0,0.0,0.0,18.0
75,75,E01000079,0.0,0.0,1.0,1.0,3.0,0.0,0.0,6.0
76,76,E01000080,0.0,1.0,0.0,0.0,7.0,0.0,0.0,8.0
77,77,E01000081,0.0,1.0,1.0,0.0,6.0,0.0,0.0,8.0
78,78,E01000082,0.0,1.0,0.0,1.0,10.0,0.0,0.0,13.0
79,79,E01000083,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0
80,80,E01000084,0.0,0.0,1.0,1.0,20.0,0.0,0.0,23.0
